>Feature	Ctg44_length_309375			
24072	25043	gene		
			locus_tag	LWC14_05191
25043	24072	CDS		
			product	hypothetical protein
30621	33332	gene		
			locus_tag	LWC14_05192
33332	30621	CDS		
			product	RNA-binding protein, putative
111715	113184	gene		
			locus_tag	LWC14_05193
111715	113184	CDS		
			product	protein associated with differentiation 7, putative
13254	14738	gene		
			locus_tag	LWC14_05194
14738	13254	CDS		
			product	Putative methyltransferase, putative
15050	17686	gene		
			locus_tag	LWC14_05195
17686	15050	CDS		
			product	Cell division cycle 5-like protein
96925	102072	gene		
			locus_tag	LWC14_05196
96925	102072	CDS		
			product	cAMP-specific phosphodiesterase, putative
82976	89998	gene		
			locus_tag	LWC14_05197
82976	89998	CDS		
			product	formin, putative
91655	95242	gene		
			locus_tag	LWC14_05198
91655	95242	CDS		
			product	Phosphorylated CTD interacting factor 1 WW domain containing protein, putative
61072	62904	gene		
			locus_tag	LWC14_05199
62904	61072	CDS		
			product	protein associated with differentiation 7, putative
43824	45887	gene		
			locus_tag	LWC14_05200
45887	43824	CDS		
			product	hypothetical protein, conserved
2632	3453	gene		
			locus_tag	LWC14_05201
3453	2632	CDS		
			product	hypothetical protein, conserved
8852	10528	gene		
			locus_tag	LWC14_05202
10528	8852	CDS		
			product	hypothetical protein, conserved
33703	34365	gene		
			locus_tag	LWC14_05203
34365	33703	CDS		
			product	G-patch domain containing protein, putative
47506	47874	gene		
			locus_tag	LWC14_05204
47874	47506	CDS		
			product	hypothetical protein
73860	82193	gene		
			locus_tag	LWC14_05205
73860	82193	CDS		
			product	U5 small nuclear ribonucleoprotein 200 kDa helicase, putative
36863	40084	gene		
			locus_tag	LWC14_05206
40084	36863	CDS		
			product	hypothetical protein
121158	124349	gene		
			locus_tag	LWC14_05207
121158	124349	CDS		
			product	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase, putative
126026	129130	gene		
			locus_tag	LWC14_05208
126026	129130	CDS		
			product	hypothetical protein, conserved
114696	115715	gene		
			locus_tag	LWC14_05209
114696	115715	CDS		
			product	Protein Associated with Differentiation 1
65720	66769	gene		
			locus_tag	LWC14_05210
65720	66769	CDS		
			product	hypothetical protein
69443	71254	gene		
			locus_tag	LWC14_05211
69443	71254	CDS		
			product	Component of motile flagella 44
71651	73204	gene		
			locus_tag	LWC14_05212
71651	73204	CDS		
			product	acetyltransferase, putative
53427	56894	gene		
			locus_tag	LWC14_05213
56894	53427	CDS		
			product	Protein Associated with Differentiation 1
18007	20583	gene		
			locus_tag	LWC14_05214
20583	18007	CDS		
			product	Mitoribosomal LSU assembly factor 8
21810	23294	gene		
			locus_tag	LWC14_05215
23294	21810	CDS		
			product	GMP reductase
>Feature	Ctg41_length_853671			
625556	627412	gene		
			locus_tag	LWC14_05216
627412	625556	CDS		
			product	major facilitator superfamily, putative
119148	126188	gene		
			locus_tag	LWC14_05217
126188	119148	CDS		
			product	SPRY domain/HECT-domain (ubiquitin-transferase), putative
75065	76927	gene		
			locus_tag	LWC14_05218
75065	76927	CDS		
			product	peroxisome targeting signal 1 receptor
231560	233035	gene		
			locus_tag	LWC14_05219
233035	231560	CDS		
			product	mitochondrial DNA ligase homolog, LIG k-beta
378100	379737	gene		
			locus_tag	LWC14_05220
378100	379737	CDS		
			product	hypothetical protein
451943	453139	gene		
			locus_tag	LWC14_05221
451943	453139	CDS		
			product	protein disulfide isomerase, putative
688440	690170	gene		
			locus_tag	LWC14_05222
690170	688440	CDS		
			product	glucose transporter, putative
217001	217603	gene		
			locus_tag	LWC14_05223
217603	217001	CDS		
			product	prefoldin, putative
88480	91566	gene		
			locus_tag	LWC14_05224
88480	91566	CDS		
			product	choline/ethanolamine kinase
732216	734117	gene		
			locus_tag	LWC14_05225
734117	732216	CDS		
			product	hypothetical protein
532634	533263	gene		
			locus_tag	LWC14_05226
532634	533263	CDS		
			product	hypothetical protein, conserved
766385	766954	gene		
			locus_tag	LWC14_05227
766954	766385	CDS		
			product	SSU ribosomal protein, mitochondrial, putative
527445	530405	gene		
			locus_tag	LWC14_05228
527445	530405	CDS		
			product	metallo-peptidase, Clan MA(E) Family M1
234128	236398	gene		
			locus_tag	LWC14_05229
236398	234128	CDS		
			product	mitochondrial DNA ligase homolog, LIG k-alpha
413806	414399	gene		
			locus_tag	LWC14_05230
413806	414399	CDS		
			product	RNA-binding protein Y14
530997	532253	gene		
			locus_tag	LWC14_05231
530997	532253	CDS		
			product	Cleavage factor I 25 kDa subunit, putative
39502	40110	gene		
			locus_tag	LWC14_05232
39502	40110	CDS		
			product	hypothetical protein, conserved
388332	389471	gene		
			locus_tag	LWC14_05233
388332	389471	CDS		
			product	hypothetical protein, conserved
213897	216047	gene		
			locus_tag	LWC14_05234
216047	213897	CDS		
			product	hypothetical protein
560677	563655	gene		
			locus_tag	LWC14_05235
560677	563655	CDS		
			product	Mini-chromosome maintenance complex-binding protein
791972	798109	gene		
			locus_tag	LWC14_05236
791972	798109	CDS		
			product	hypothetical protein, conserved
811166	811786	gene		
			locus_tag	LWC14_05237
811166	811786	CDS		
			product	60S ribosomal protein L6, putative
539297	543652	gene		
			locus_tag	LWC14_05238
539297	543652	CDS		
			product	hypothetical protein, conserved
407546	408655	gene		
			locus_tag	LWC14_05239
407546	408655	CDS		
			product	asparagine synthetase a, putative
803637	805226	gene		
			locus_tag	LWC14_05240
803637	805226	CDS		
			product	C-14 sterol reductase, putative
221349	228011	gene		
			locus_tag	LWC14_05241
228011	221349	CDS		
			product	Fusaric acid resistance protein-like, putative
369838	371814	gene		
			locus_tag	LWC14_05242
369838	371814	CDS		
			product	60S ribosomal export protein NMD3
815948	818830	gene		
			locus_tag	LWC14_05243
815948	818830	CDS		
			product	hypothetical protein, conserved
290876	292516	gene		
			locus_tag	LWC14_05244
292516	290876	CDS		
			product	Ring finger domain containing protein, putative
217948	220635	gene		
			locus_tag	LWC14_05245
220635	217948	CDS		
			product	GTP-binding protein, putative
727092	728462	gene		
			locus_tag	LWC14_05246
728462	727092	CDS		
			product	hypothetical protein
24982	25686	gene		
			locus_tag	LWC14_05247
24982	25686	CDS		
			product	3-keto-dihydrosphingosine reductase
843500	843799	gene		
			locus_tag	LWC14_05248
843500	843799	CDS		
			product	histone H4, putative
852877	853509	gene		
			locus_tag	LWC14_05249
853509	852877	CDS		
			product	hypothetical protein
533812	535659	gene		
			locus_tag	LWC14_05250
533812	535659	CDS		
			product	Mitoribosomal LSU assembly factor 1
362948	364408	gene		
			locus_tag	LWC14_05251
364408	362948	CDS		
			product	protein associated with differentiation 7, putative
43402	50334	gene		
			locus_tag	LWC14_05252
43402	50334	CDS		
			product	hypothetical protein, conserved
524121	526853	gene		
			locus_tag	LWC14_05253
524121	526853	CDS		
			product	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative
462884	463183	gene		
			locus_tag	LWC14_05254
462884	463183	CDS		
			product	10 kDa heat shock protein, putative
261804	263000	gene		
			locus_tag	LWC14_05255
263000	261804	CDS		
			product	amidohydrolase, putative
292842	296045	gene		
			locus_tag	LWC14_05256
296045	292842	CDS		
			product	RNA pseudouridylate synthase, putative
450416	451186	gene		
			locus_tag	LWC14_05257
450416	451186	CDS		
			product	Protein of unknown function (DUF2012), putative
401935	403443	gene		
			locus_tag	LWC14_05258
401935	403443	CDS		
			product	hypothetical protein, conserved
808826	810622	gene		
			locus_tag	LWC14_05259
808826	810622	CDS		
			product	hypothetical protein
786617	786994	gene		
			locus_tag	LWC14_05260
786617	786994	CDS		
			product	paraflagellar rod component, putative
393293	393742	gene		
			locus_tag	LWC14_05261
393293	393742	CDS		
			product	40S ribosomal protein S16, putative
19378	21696	gene		
			locus_tag	LWC14_05262
19378	21696	CDS		
			product	RNA helicase Prp43
488555	489904	gene		
			locus_tag	LWC14_05263
488555	489904	CDS		
			product	leucine-rich repeat protein (LRRP), putative
666034	667482	gene		
			locus_tag	LWC14_05264
667482	666034	CDS		
			product	hypothetical protein
522632	523522	gene		
			locus_tag	LWC14_05265
522632	523522	CDS		
			product	C-1-tetrahydrofolate synthase, cytoplasmic, putative
779544	780740	gene		
			locus_tag	LWC14_05266
780740	779544	CDS		
			product	hypothetical protein
333105	334097	gene		
			locus_tag	LWC14_05267
334097	333105	CDS		
			product	RNA-binding protein, putative
394298	394747	gene		
			locus_tag	LWC14_05268
394298	394747	CDS		
			product	40S ribosomal protein S16, putative
61048	61473	gene		
			locus_tag	LWC14_05269
61048	61473	CDS		
			product	hypothetical protein
324452	325639	gene		
			locus_tag	LWC14_05270
325639	324452	CDS		
			product	hypothetical protein, conserved
192113	193528	gene		
			locus_tag	LWC14_05271
193528	192113	CDS		
			product	cytochrome b5-like Heme/Steroid binding domain containing protein, putative
564205	564978	gene		
			locus_tag	LWC14_05272
564205	564978	CDS		
			product	Adenine phosphoribosyltransferase, putative
501989	504130	gene		
			locus_tag	LWC14_05273
501989	504130	CDS		
			product	pseudouridylate synthase I, putative
342627	355979	gene		
			locus_tag	LWC14_05274
355979	342627	CDS		
			product	Inner arm dynein 5-1
418951	419478	gene		
			locus_tag	LWC14_05275
418951	419478	CDS		
			product	RNA-binding protein, putative
187724	190987	gene		
			locus_tag	LWC14_05276
190987	187724	CDS		
			product	hypothetical protein, conserved
85725	86759	gene		
			locus_tag	LWC14_05277
85725	86759	CDS		
			product	hypothetical protein, conserved
566021	566692	gene		
			locus_tag	LWC14_05278
566021	566692	CDS		
			product	Adenine phosphoribosyltransferase, putative
500624	501556	gene		
			locus_tag	LWC14_05279
500624	501556	CDS		
			product	Cytosolic Fe-S cluster assembly factor CFD1, putative
745936	754083	gene		
			locus_tag	LWC14_05280
754083	745936	CDS		
			product	hypothetical protein, conserved
704306	706093	gene		
			locus_tag	LWC14_05281
706093	704306	CDS		
			product	hypothetical protein, conserved
593433	596534	gene		
			locus_tag	LWC14_05282
596534	593433	CDS		
			product	Nicastrin, putative
416544	417998	gene		
			locus_tag	LWC14_05283
416544	417998	CDS		
			product	hypothetical protein
380211	383765	gene		
			locus_tag	LWC14_05284
380211	383765	CDS		
			product	chaperone protein DnaJ, putative
71484	73925	gene		
			locus_tag	LWC14_05285
71484	73925	CDS		
			product	threonyl-tRNA synthetase, putative
587954	589126	gene		
			locus_tag	LWC14_05286
587954	589126	CDS		
			product	ribosome production factor 2
464137	465573	gene		
			locus_tag	LWC14_05287
464137	465573	CDS		
			product	Pentatricopeptide repeat protein (PPR), putative
767705	768973	gene		
			locus_tag	LWC14_05288
768973	767705	CDS		
			product	RNA-binding protein, putative
660285	661613	gene		
			locus_tag	LWC14_05289
661613	660285	CDS		
			product	hypothetical protein
419751	424970	gene		
			locus_tag	LWC14_05290
419751	424970	CDS		
			product	regulator of chromosome condensation, putative
299076	300776	gene		
			locus_tag	LWC14_05291
300776	299076	CDS		
			product	RNA editing mediator complex protein 3
617244	619664	gene		
			locus_tag	LWC14_05292
619664	617244	CDS		
			product	ZIP Zinc transporter, putative
307057	308280	gene		
			locus_tag	LWC14_05293
308280	307057	CDS		
			product	dynein arm light chain, axonemal, putative
162738	163295	gene		
			locus_tag	LWC14_05294
163295	162738	CDS		
			product	hypothetical protein
729744	731492	gene		
			locus_tag	LWC14_05295
731492	729744	CDS		
			product	deoxyribodipyrimidine photo-lyase, putative
263973	265922	gene		
			locus_tag	LWC14_05296
265922	263973	CDS		
			product	heat shock 70 kDa protein, putative
287703	290444	gene		
			locus_tag	LWC14_05297
290444	287703	CDS		
			product	hypothetical protein, conserved
604096	605754	gene		
			locus_tag	LWC14_05298
605754	604096	CDS		
			product	WD domain, G-beta repeat, putative
652212	653795	gene		
			locus_tag	LWC14_05299
653795	652212	CDS		
			product	hypothetical protein
448997	449830	gene		
			locus_tag	LWC14_05300
448997	449830	CDS		
			product	hypothetical protein, conserved
387297	387926	gene		
			locus_tag	LWC14_05301
387297	387926	CDS		
			product	Mitoribosomal SSU assembly factor 30
210032	212713	gene		
			locus_tag	LWC14_05302
212713	210032	CDS		
			product	Nucleoporin NUP149
79062	84665	gene		
			locus_tag	LWC14_05303
79062	84665	CDS		
			product	hypothetical protein
518878	520740	gene		
			locus_tag	LWC14_05304
518878	520740	CDS		
			product	mitotic cyclin
763266	766055	gene		
			locus_tag	LWC14_05305
766055	763266	CDS		
			product	Coiled-coil domain-containing protein 40 homolog
536008	538950	gene		
			locus_tag	LWC14_05306
536008	538950	CDS		
			product	hypothetical protein, conserved
164860	166362	gene		
			locus_tag	LWC14_05307
166362	164860	CDS		
			product	hypothetical protein, conserved
699610	703374	gene		
			locus_tag	LWC14_05308
703374	699610	CDS		
			product	predicted WD40 repeat protein
671575	673569	gene		
			locus_tag	LWC14_05309
673569	671575	CDS		
			product	hypothetical protein, conserved
296393	298660	gene		
			locus_tag	LWC14_05310
298660	296393	CDS		
			product	hypothetical protein
77553	78332	gene		
			locus_tag	LWC14_05311
77553	78332	CDS		
			product	60S ribosomal protein L8, putative
758367	759635	gene		
			locus_tag	LWC14_05312
759635	758367	CDS		
			product	Ras-induced vulval development antagonist, putative
784780	786282	gene		
			locus_tag	LWC14_05313
784780	786282	CDS		
			product	hypothetical protein, conserved
755005	755328	gene		
			locus_tag	LWC14_05314
755328	755005	CDS		
			product	hypothetical protein, conserved
62418	63884	gene		
			locus_tag	LWC14_05315
62418	63884	CDS		
			product	mitochondrial processing peptidase, beta subunit, putative
756099	758039	gene		
			locus_tag	LWC14_05316
758039	756099	CDS		
			product	hypothetical protein, conserved
685044	686756	gene		
			locus_tag	LWC14_05317
686756	685044	CDS		
			product	THT2A - glucose transporter, putative
54310	55134	gene		
			locus_tag	LWC14_05318
54310	55134	CDS		
			product	Iron-sulfur assembly protein 2
507560	509197	gene		
			locus_tag	LWC14_05319
507560	509197	CDS		
			product	KRET2
545654	546628	gene		
			locus_tag	LWC14_05320
545654	546628	CDS		
			product	Uncharacterised conserved protein (DUF2305), putative
459765	460064	gene		
			locus_tag	LWC14_05321
459765	460064	CDS		
			product	10 kDa heat shock protein, putative
415228	415473	gene		
			locus_tag	LWC14_05322
415228	415473	CDS		
			product	hypothetical protein
41055	41498	gene		
			locus_tag	LWC14_05323
41055	41498	CDS		
			product	ubiquitin-conjugating enzyme E2, putative
596852	599701	gene		
			locus_tag	LWC14_05324
599701	596852	CDS		
			product	PrimPol-like protein 1
239054	239902	gene		
			locus_tag	LWC14_05325
239902	239054	CDS		
			product	hypothetical protein, conserved
254940	257891	gene		
			locus_tag	LWC14_05326
257891	254940	CDS		
			product	chaperone protein DnaJ, putative
706470	707414	gene		
			locus_tag	LWC14_05327
707414	706470	CDS		
			product	hypothetical protein, conserved
668774	671041	gene		
			locus_tag	LWC14_05328
671041	668774	CDS		
			product	Plexin repeat, putative
395153	398011	gene		
			locus_tag	LWC14_05329
395153	398011	CDS		
			product	hypothetical protein
170931	173273	gene		
			locus_tag	LWC14_05330
173273	170931	CDS		
			product	protein farnesyltransferase beta subunit
499265	500272	gene		
			locus_tag	LWC14_05331
499265	500272	CDS		
			product	hypothetical protein, conserved
398511	401453	gene		
			locus_tag	LWC14_05332
398511	401453	CDS		
			product	KREX1
439203	442538	gene		
			locus_tag	LWC14_05333
439203	442538	CDS		
			product	hypothetical protein, conserved
277798	279732	gene		
			locus_tag	LWC14_05334
279732	277798	CDS		
			product	Component of motile flagella 49
516947	518173	gene		
			locus_tag	LWC14_05335
516947	518173	CDS		
			product	hypothetical protein
453993	459212	gene		
			locus_tag	LWC14_05336
453993	459212	CDS		
			product	hypothetical protein, conserved
708798	709583	gene		
			locus_tag	LWC14_05337
709583	708798	CDS		
			product	Alpha/beta hydrolase domain-containing protein
586532	586990	gene		
			locus_tag	LWC14_05338
586532	586990	CDS		
			product	hypothetical protein
606625	610764	gene		
			locus_tag	LWC14_05339
610764	606625	CDS		
			product	hypothetical protein, conserved
461038	462501	gene		
			locus_tag	LWC14_05340
461038	462501	CDS		
			product	hypothetical protein, conserved
195228	203588	gene		
			locus_tag	LWC14_05341
203588	195228	CDS		
			product	FYVE zinc finger, putative
721229	723733	gene		
			locus_tag	LWC14_05342
723733	721229	CDS		
			product	hypothetical protein
509578	512223	gene		
			locus_tag	LWC14_05343
509578	512223	CDS		
			product	TPR repeat, putative
22541	23224	gene		
			locus_tag	LWC14_05344
22541	23224	CDS		
			product	Degradation arginine-rich protein for mis-folding, putative
567422	568120	gene		
			locus_tag	LWC14_05345
567422	568120	CDS		
			product	hypothetical protein, conserved
716460	720737	gene		
			locus_tag	LWC14_05346
720737	716460	CDS		
			product	hypothetical protein
180752	186655	gene		
			locus_tag	LWC14_05347
186655	180752	CDS		
			product	hypothetical protein, conserved
384782	386740	gene		
			locus_tag	LWC14_05348
384782	386740	CDS		
			product	ATP-dependent DNA helicase-like PIF8
710046	713513	gene		
			locus_tag	LWC14_05349
713513	710046	CDS		
			product	DNA mismatch repair protein MSH2, putative
148842	150155	gene		
			locus_tag	LWC14_05350
150155	148842	CDS		
			product	Prostaglandin E synthase, putative
247761	250022	gene		
			locus_tag	LWC14_05351
250022	247761	CDS		
			product	Cupin-like domain containing protein, putative
139373	141142	gene		
			locus_tag	LWC14_05352
141142	139373	CDS		
			product	Proline dehydrogenase, mitochondrial
128600	129127	gene		
			locus_tag	LWC14_05353
129127	128600	CDS		
			product	hypothetical protein
308637	317903	gene		
			locus_tag	LWC14_05354
317903	308637	CDS		
			product	telomerase-associated protein, putative
582216	585224	gene		
			locus_tag	LWC14_05355
582216	585224	CDS		
			product	pyridoxal phosphate containing glycine decarboxylase, putative
512627	516568	gene		
			locus_tag	LWC14_05356
512627	516568	CDS		
			product	Vps52 / Sac2 family, putative
15030	17387	gene		
			locus_tag	LWC14_05357
15030	17387	CDS		
			product	NADH-dependent fumarate reductase
825097	828807	gene		
			locus_tag	LWC14_05358
825097	828807	CDS		
			product	CYC2-like cyclin, putative
829987	835725	gene		
			locus_tag	LWC14_05359
829987	835725	CDS		
			product	TFIIF-stimulated CTD phosphatase, putative
326472	330398	gene		
			locus_tag	LWC14_05360
330398	326472	CDS		
			product	hypothetical protein, conserved
590357	593077	gene		
			locus_tag	LWC14_05361
593077	590357	CDS		
			product	Mitochondrial SSU ribosomal protein, putative
166915	170340	gene		
			locus_tag	LWC14_05362
170340	166915	CDS		
			product	hypothetical protein, conserved
474462	477908	gene		
			locus_tag	LWC14_05363
474462	477908	CDS		
			product	Tripartite Attachment Complex Protein 60
339410	342022	gene		
			locus_tag	LWC14_05364
342022	339410	CDS		
			product	hypothetical protein, conserved
696508	698556	gene		
			locus_tag	LWC14_05365
698556	696508	CDS		
			product	ATP-binding cassette sub-family F member 1, putative
33798	34892	gene		
			locus_tag	LWC14_05366
33798	34892	CDS		
			product	atpase family aaa domain-containing protein 1
691282	692268	gene		
			locus_tag	LWC14_05367
692268	691282	CDS		
			product	E2-like ubiquitin-conjugation enzyme
812100	814016	gene		
			locus_tag	LWC14_05368
812100	814016	CDS		
			product	WD domain, G-beta repeat, putative
334648	335253	gene		
			locus_tag	LWC14_05369
335253	334648	CDS		
			product	electron transfer protein, putative
134143	134403	gene		
			locus_tag	LWC14_05370
134403	134143	CDS		
			product	40S ribosomal protein S33, putative
629940	636911	gene		
			locus_tag	LWC14_05371
636911	629940	CDS		
			product	RNA Interference Factor 5
552185	552667	gene		
			locus_tag	LWC14_05372
552185	552667	CDS		
			product	hypothetical protein
574766	576712	gene		
			locus_tag	LWC14_05373
574766	576712	CDS		
			product	zinc finger protein, putative
814296	815642	gene		
			locus_tag	LWC14_05374
814296	815642	CDS		
			product	hypothetical protein, conserved
365626	366864	gene		
			locus_tag	LWC14_05375
365626	366864	CDS		
			product	zinc finger CCCH domain containing protein 17
403818	406805	gene		
			locus_tag	LWC14_05376
403818	406805	CDS		
			product	hypothetical protein, conserved
284911	287046	gene		
			locus_tag	LWC14_05377
287046	284911	CDS		
			product	hypothetical protein
692495	693118	gene		
			locus_tag	LWC14_05378
693118	692495	CDS		
			product	RNA-binding protein, putative
29178	31433	gene		
			locus_tag	LWC14_05379
29178	31433	CDS		
			product	hypothetical protein, conserved
94028	96190	gene		
			locus_tag	LWC14_05380
94028	96190	CDS		
			product	thimet oligopeptidase, putative
657427	658866	gene		
			locus_tag	LWC14_05381
658866	657427	CDS		
			product	adenosine deaminase-like protein
389753	392803	gene		
			locus_tag	LWC14_05382
389753	392803	CDS		
			product	heat shock 70 kDa protein, putative
258545	260884	gene		
			locus_tag	LWC14_05383
260884	258545	CDS		
			product	Nucleolar protein 74
637599	642683	gene		
			locus_tag	LWC14_05384
642683	637599	CDS		
			product	hypothetical protein
174524	178981	gene		
			locus_tag	LWC14_05385
178981	174524	CDS		
			product	hypothetical protein, conserved
251396	254614	gene		
			locus_tag	LWC14_05386
254614	251396	CDS		
			product	hypothetical protein
837072	841043	gene		
			locus_tag	LWC14_05387
837072	841043	CDS		
			product	hypothetical protein
336126	338549	gene		
			locus_tag	LWC14_05388
338549	336126	CDS		
			product	hypothetical protein, conserved
323705	324061	gene		
			locus_tag	LWC14_05389
324061	323705	CDS		
			product	Mitochondrial ATP synthase subunit, putative
280512	283046	gene		
			locus_tag	LWC14_05390
283046	280512	CDS		
			product	chaperone protein DnaJ, putative
661923	663131	gene		
			locus_tag	LWC14_05391
663131	661923	CDS		
			product	hypothetical protein, conserved
547065	548438	gene		
			locus_tag	LWC14_05392
547065	548438	CDS		
			product	Silent information regulator 2 related protein 1
580661	581677	gene		
			locus_tag	LWC14_05393
580661	581677	CDS		
			product	cdc2-related protein kinase 7, putative
135568	137271	gene		
			locus_tag	LWC14_05394
137271	135568	CDS		
			product	CDP-DAG synthase
26634	27431	gene		
			locus_tag	LWC14_05395
26634	27431	CDS		
			product	3-keto-dihydrosphingosine reductase
470266	473019	gene		
			locus_tag	LWC14_05396
470266	473019	CDS		
			product	Protein of unknown function (DUF525), putative
735227	738616	gene		
			locus_tag	LWC14_05397
738616	735227	CDS		
			product	hypothetical protein
664056	665447	gene		
			locus_tag	LWC14_05398
665447	664056	CDS		
			product	hypothetical protein
589749	590027	gene		
			locus_tag	LWC14_05399
590027	589749	CDS		
			product	U6 snRNA-associated Sm-like protein LSm7p
620331	621689	gene		
			locus_tag	LWC14_05400
621689	620331	CDS		
			product	hypothetical protein, conserved
268011	276374	gene		
			locus_tag	LWC14_05401
276374	268011	CDS		
			product	conserved protein
483092	486853	gene		
			locus_tag	LWC14_05402
483092	486853	CDS		
			product	hypothetical protein, conserved
330692	332566	gene		
			locus_tag	LWC14_05403
332566	330692	CDS		
			product	hypothetical protein, conserved
51145	53352	gene		
			locus_tag	LWC14_05404
51145	53352	CDS		
			product	disulfide isomerase, putative
430244	437968	gene		
			locus_tag	LWC14_05405
430244	437968	CDS		
			product	hypothetical protein, conserved
57094	59298	gene		
			locus_tag	LWC14_05406
57094	59298	CDS		
			product	hypothetical protein
32268	32975	gene		
			locus_tag	LWC14_05407
32268	32975	CDS		
			product	monothiol glutaredoxin, putative
465986	467035	gene		
			locus_tag	LWC14_05408
465986	467035	CDS		
			product	Paraflagellar rod (PFR) assembly factor 2
467437	469968	gene		
			locus_tag	LWC14_05409
467437	469968	CDS		
			product	spliced leader RNA PSE-promoter transcription factor, putative
544122	544862	gene		
			locus_tag	LWC14_05410
544122	544862	CDS		
			product	Eukaryotic translation initiation factor 4E type 6
426135	428867	gene		
			locus_tag	LWC14_05411
426135	428867	CDS		
			product	regulator of chromosome condensation, putative
600150	602294	gene		
			locus_tag	LWC14_05412
602294	600150	CDS		
			product	hypothetical protein, conserved
602543	603730	gene		
			locus_tag	LWC14_05413
603730	602543	CDS		
			product	hypothetical protein
302225	303670	gene		
			locus_tag	LWC14_05414
303670	302225	CDS		
			product	hypothetical protein
305180	306550	gene		
			locus_tag	LWC14_05415
306550	305180	CDS		
			product	hypothetical protein
410583	411065	gene		
			locus_tag	LWC14_05416
410583	411065	CDS		
			product	trypanothione/tryparedoxin dependent peroxidase 2
412108	412650	gene		
			locus_tag	LWC14_05417
412108	412650	CDS		
			product	trypanothione/tryparedoxin dependent peroxidase 2
412927	413310	gene		
			locus_tag	LWC14_05418
412927	413310	CDS		
			product	hypothetical protein, conserved
142100	144157	gene		
			locus_tag	LWC14_05419
144157	142100	CDS		
			product	thimet oligopeptidase, putative
145580	148195	gene		
			locus_tag	LWC14_05420
148195	145580	CDS		
			product	enoyl-CoA hydratase/Enoyl-CoA isomerase/3-hydroxyacyl-CoA dehydrogenase, putative
36370	37146	gene		
			locus_tag	LWC14_05421
36370	37146	CDS		
			product	class I transcription factor A, subunit 6
37524	38921	gene		
			locus_tag	LWC14_05422
37524	38921	CDS		
			product	2OG-Fe(II) oxygenase superfamily, putative
713851	714663	gene		
			locus_tag	LWC14_05423
714663	713851	CDS		
			product	hypothetical protein
715446	715775	gene		
			locus_tag	LWC14_05424
715775	715446	CDS		
			product	Archaic translocase of outer membrane 11 kDa subunit
548894	550180	gene		
			locus_tag	LWC14_05425
548894	550180	CDS		
			product	eukaryotic peptide chain release factor subunit 1, putative
550647	551627	gene		
			locus_tag	LWC14_05426
550647	551627	CDS		
			product	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
851836	852255	gene		
			locus_tag	LWC14_05427
852255	851836	CDS		
			product	hypothetical protein
490384	492093	gene		
			locus_tag	LWC14_05428
490384	492093	CDS		
			product	non-canonical poly (A) polymerase
492627	493658	gene		
			locus_tag	LWC14_05429
492627	493658	CDS		
			product	Conserved hypothetical ATP binding protein, putative
65257	68844	gene		
			locus_tag	LWC14_05430
65257	68844	CDS		
			product	OTU-like cysteine protease, putative
70060	70593	gene		
			locus_tag	LWC14_05431
70060	70593	CDS		
			product	RNA-binding protein, putative
806455	806910	gene		
			locus_tag	LWC14_05432
806455	806910	CDS		
			product	hypothetical protein, conserved
807306	808481	gene		
			locus_tag	LWC14_05433
807306	808481	CDS		
			product	hypothetical protein, conserved
557448	558479	gene		
			locus_tag	LWC14_05434
557448	558479	CDS		
			product	Mitochondrial import inner membrane translocase subunit TIM50
558791	560095	gene		
			locus_tag	LWC14_05435
558791	560095	CDS		
			product	hypothetical protein
10265	10819	gene		
			locus_tag	LWC14_05436
10819	10265	CDS		
			product	hypothetical protein
204510	206063	gene		
			locus_tag	LWC14_05437
206063	204510	CDS		
			product	chaperone protein DnaJ, putative
207132	209408	gene		
			locus_tag	LWC14_05438
209408	207132	CDS		
			product	WD domain, G-beta repeat, putative
738939	739913	gene		
			locus_tag	LWC14_05439
739913	738939	CDS		
			product	hypothetical protein, conserved
741172	742236	gene		
			locus_tag	LWC14_05440
742236	741172	CDS		
			product	hypothetical protein
819945	822233	gene		
			locus_tag	LWC14_05441
819945	822233	CDS		
			product	hypothetical protein, conserved
822803	824320	gene		
			locus_tag	LWC14_05442
822803	824320	CDS		
			product	hypothetical protein
97515	110525	gene		
			locus_tag	LWC14_05443
110525	97515	CDS		
			product	SPRY domain/HECT-domain (ubiquitin-transferase), putative
643299	643973	gene		
			locus_tag	LWC14_05444
643973	643299	CDS		
			product	hypothetical protein, conserved
645323	648922	gene		
			locus_tag	LWC14_05445
648922	645323	CDS		
			product	palmitoyl acyltransferase 2, putative
240929	242032	gene		
			locus_tag	LWC14_05446
242032	240929	CDS		
			product	hypothetical protein, conserved
242855	247117	gene		
			locus_tag	LWC14_05447
247117	242855	CDS		
			product	Nucleolar protein 105
129673	131985	gene		
			locus_tag	LWC14_05448
131985	129673	CDS		
			product	zinc finger protein family member, putative
132582	133580	gene		
			locus_tag	LWC14_05449
133580	132582	CDS		
			product	hypothetical protein
568817	570922	gene		
			locus_tag	LWC14_05450
568817	570922	CDS		
			product	hypothetical protein, conserved
572045	574327	gene		
			locus_tag	LWC14_05451
572045	574327	CDS		
			product	hypothetical protein, conserved
742614	743423	gene		
			locus_tag	LWC14_05452
743423	742614	CDS		
			product	hypothetical protein, conserved
